lat,lng,started_at,arrived_at,delivered_at
43.656451,-79.357515,2024-07-04 01:16:31,2024-07-04 21:09:04,2024-07-04 21:11:43
43.619911,-79.595949,2024-07-04 01:17:58,2024-07-05 01:44:14,2024-07-05 01:50:54
43.680987,-79.285010,2024-07-04 01:19:37,2024-07-05 00:50:30,2024-07-05 00:54:45
43.6622608,-79.3793321,2024-07-04 01:21:56,2024-07-04 23:13:38,2024-07-04 23:14:14
43.756691,-79.780811,2024-07-04 01:23:39,2024-07-04 21:12:34,2024-07-04 21:13:12
43.567855,-79.749949,2024-07-04 01:25:09,2024-07-04 22:38:52,2024-07-04 22:39:42
43.734126,-79.805996,2024-07-04 01:51:20,2024-07-04 23:59:27,2024-07-05 00:01:23
43.705231,-79.760580,2024-07-04 02:03:18,2024-07-04 23:30:16,2024-07-04 23:30:57
43.756138,-79.603185,2024-07-04 02:04:31,2024-07-04 21:48:36,2024-07-04 21:48:57
43.585818,-79.630161,2024-07-04 02:05:39,2024-07-04 23:05:52,2024-07-04 23:08:01
43.655045,-79.389023,2024-07-04 02:09:37,2024-07-04 22:27:03,2024-07-04 22:31:31
43.59021,-79.633058,2024-07-04 02:11:18,2024-07-04 22:46:19,2024-07-04 22:51:06
43.903556,-78.929724,2024-07-04 02:13:04,2024-07-04 23:50:10,2024-07-04 23:51:13
43.636979,-79.406079,2024-07-04 02:14:28,2024-07-04 23:00:48,2024-07-04 23:01:32
43.657496,-79.374371,2024-07-04 02:16:50,2024-07-04 23:27:06,2024-07-04 23:29:08
43.730090,-79.332268,2024-07-04 02:18:21,2024-07-05 00:12:15,2024-07-05 00:13:07
43.7587292,-79.5875627,2024-07-04 02:20:03,2024-07-04 21:34:26,2024-07-04 21:38:01
43.668742,-79.386795,2024-07-04 02:21:28,2024-07-04 20:33:47,2024-07-04 20:37:38
43.656969,-79.397942,2024-07-04 02:22:49,2024-07-04 20:36:32,2024-07-04 20:37:23
43.697835,-79.474035,2024-07-04 02:27:10,2024-07-04 20:44:23,2024-07-04 20:46:47
43.867613,-79.318939,2024-07-04 02:28:21,2024-07-04 23:12:00,2024-07-04 23:13:08
43.6594674,-79.3855404,2024-07-04 02:29:49,2024-07-04 23:00:20,2024-07-04 23:02:15
43.660813,-79.377467,2024-07-04 02:31:08,2024-07-04 23:24:20,2024-07-04 23:24:56
43.882534,-79.221320,2024-07-04 02:33:36,2024-07-04 23:16:21,2024-07-04 23:17:07
43.691936,-79.821332,2024-07-04 02:34:50,2024-07-04 23:41:51,2024-07-04 23:42:44
43.805067,-79.178883,2024-07-04 02:36:24,2024-07-04 22:46:17,2024-07-04 22:46:36
43.247286,-79.850818,2024-07-04 02:47:51,2024-07-05 18:42:36,2024-07-05 18:43:12
43.523972,-79.704425,2024-07-04 02:53:34,2024-07-04 23:26:27,2024-07-04 23:27:35
43.729013,-79.270206,2024-07-04 02:55:32,2024-07-05 00:15:29,2024-07-05 00:15:58
43.819291,-79.076016,2024-07-04 03:14:40,2024-07-04 20:28:54,2024-07-04 20:29:38
43.686219,-79.743489,2024-07-04 03:15:54,2024-07-04 22:28:46,2024-07-04 22:29:21
43.676987,-79.412751,2024-07-04 03:18:04,2024-07-04 20:57:03,2024-07-04 20:59:13
43.652508,-79.388585,2024-07-04 03:40:53,2024-07-04 22:25:08,2024-07-04 22:25:28
43.410082,-79.780103,2024-07-04 03:41:59,2024-07-04 23:46:12,2024-07-04 23:46:35
43.987163,-79.469324,2024-07-04 03:43:36,2024-07-04 23:13:56,2024-07-04 23:14:42
43.642316,-79.396728,2024-07-04 03:44:45,2024-07-05 00:13:34,2024-07-05 00:14:30
43.76582,-79.386148,2024-07-04 03:57:35,2024-07-04 22:47:45,2024-07-04 22:50:14
43.567573,-79.774383,2024-07-04 03:59:42,2024-07-05 01:02:36,2024-07-05 01:03:23
43.752865,-79.591175,2024-07-04 04:52:16,2024-07-04 21:43:46,2024-07-04 21:44:11
43.393404,-79.782497,2024-07-04 04:52:17,2024-07-04 23:33:01,2024-07-04 23:33:21
43.653614,-79.437342,2024-07-04 04:52:17,2024-07-04 21:26:38,2024-07-04 21:28:47
